Tradeno,Date,Shares,Symbol,Open,High,Low,Close,Volume,Range,Change,StratOrder,bhBalance,Strat_Balance,Strat_Profits,WinLoss,Win,Loss,Strat_Drawdown,bhDrawdown,bhreturn,bhreturnpct,strategy_return,stratreturnpct
480,2022-05-27,1000,TQQQ,31.3,33.34,31.27,33.29,157517900,2.07,1.99,Buy,33290.0,62580.0,1989.9999999999984,Win,1989.9999999999984,0.0,10970.0,51600.0,0.23296296296296296,23.296296296296294,1.3324636600819977,133.24636600819977
497,2022-06-23,1000,TQQQ,24.94,25.57,24.17,25.33,182686400,1.4,0.39,Buy,25330.0,62970.0,389.99999999999704,Win,389.99999999999704,0.0,10580.0,59560.0,-0.06185185185185185,-6.185185185185185,1.3469996272828924,134.69996272828922
505,2022-07-06,1000,TQQQ,25.77,26.72,25.28,26.14,206122900,1.44,0.37,Buy,26140.0,63340.0,370.000000000001,Win,370.000000000001,0.0,10210.0,58750.0,-0.03185185185185185,-3.185185185185185,1.3607901602683563,136.07901602683563
512,2022-07-15,1000,TQQQ,26.27,26.85,25.81,26.79,154380200,1.04,0.52,Buy,26790.0,63860.0,519.9999999999995,Win,519.9999999999995,0.0,9690.0,58100.0,-0.0077777777777777776,-0.7777777777777778,1.380171449869549,138.0171449869549
551,2022-09-09,1000,TQQQ,28.68,30.02,28.66,29.84,149367900,1.36,1.16,Buy,29840.0,65020.0,1160.0000000000002,Win,1160.0000000000002,0.0,8530.0,55050.0,0.10518518518518519,10.518518518518519,1.4234066343645173,142.34066343645173
568,2022-10-04,1000,TQQQ,21.9,22.77,21.89,22.58,231661800,0.88,0.68,Buy,22580.0,65700.0,679.9999999999998,Win,679.9999999999998,0.0,7850.0,62310.0,-0.1637037037037037,-16.37037037037037,1.448751397689154,144.8751397689154
578,2022-10-18,1000,TQQQ,20.87,21.0,19.17,19.78,346276900,1.83,-1.09,Buy,19780.0,64610.0,-1089.9999999999998,Loss,0.0,-1089.9999999999998,8940.0,65110.0,-0.2674074074074074,-26.740740740740744,1.4081252329481924,140.81252329481924
595,2022-11-10,1000,TQQQ,20.15,21.54,19.7,21.45,328442400,1.84,1.3,Buy,21450.0,65910.0,1300.0000000000007,Win,1300.0000000000007,0.0,7640.0,63440.0,-0.20555555555555555,-20.555555555555554,1.4565784569511742,145.65784569511743
608,2022-11-30,1000,TQQQ,20.85,23.65,20.65,23.56,272734900,3.0,2.71,Buy,23560.0,68620.0,2709.9999999999973,Win,2709.9999999999973,0.0,4930.0,61330.0,-0.1274074074074074,-12.74074074074074,1.5575847931420053,155.7584793142005
618,2022-12-14,1000,TQQQ,22.21,22.99,21.08,21.8,289455500,1.91,-0.41,Buy,21800.0,68210.0,-410.0000000000001,Loss,0.0,-410.0000000000001,5340.0,63090.0,-0.1925925925925926,-19.25925925925926,1.5423033917256803,154.23033917256802
634,2023-01-09,1000,TQQQ,18.08,18.96,17.89,18.01,186021400,1.07,-0.07,Buy,18010.0,68140.0,-69.99999999999673,Loss,0.0,-69.99999999999673,5410.0,66880.0,-0.33296296296296296,-33.2962962962963,1.5396943719716736,153.96943719716737
659,2023-02-14,1000,TQQQ,24.54,25.74,24.05,25.49,255737200,1.69,0.95,Buy,25490.0,69090.0,949.9999999999993,Win,949.9999999999993,0.0,4460.0,59400.0,-0.05592592592592593,-5.592592592592593,1.5751024972046217,157.51024972046218
671,2023-03-03,1000,TQQQ,22.5,23.53,22.38,23.46,151676600,1.15,0.96,Buy,23460.0,70050.0,960.0000000000009,Win,960.0000000000009,0.0,3500.0,61430.0,-0.13111111111111112,-13.111111111111112,1.610883339545285,161.0883339545285
679,2023-03-15,1000,TQQQ,22.17,23.22,21.83,23.11,274559400,1.39,0.94,Buy,23110.0,70990.0,939.9999999999977,Win,939.9999999999977,0.0,2560.0,61780.0,-0.14407407407407408,-14.407407407407408,1.6459187476705182,164.59187476705182
700,2023-04-14,1000,TQQQ,27.21,27.93,26.7,27.47,142666100,1.23,0.26,Buy,27470.0,71250.0,259.999999999998,Win,259.999999999998,0.0,2300.0,57420.0,0.017407407407407406,1.7407407407407407,1.6556093924711144,165.56093924711143
710,2023-04-28,1000,TQQQ,27.64,28.28,27.33,28.25,130536100,0.95,0.61,Buy,28250.0,71860.0,609.9999999999994,Win,609.9999999999994,0.0,1690.0,56640.0,0.046296296296296294,4.62962962962963,1.6783451360417443,167.83451360417442
715,2023-05-05,1000,TQQQ,27.12,28.46,27.03,28.21,97627100,1.43,1.09,Buy,28210.0,72950.0,1089.9999999999998,Win,1089.9999999999998,0.0,600.0,56680.0,0.044814814814814814,4.481481481481482,1.7189713007827059,171.89713007827058
753,2023-06-30,1000,TQQQ,40.4,41.35,40.29,41.0,91993400,1.06,0.6,Buy,41000.0,73550.0,600.0000000000014,Win,600.0000000000014,0.0,0.0,43890.0,0.5185185185185185,51.85185185185185,1.7413343272456205,174.13343272456206
